Date,,"Thu, 15 Dec 2016 10:55:52 +0000",,,
Cite,,"Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/",,,
All rights reserved. Academic license for non-commercial use only.,,,,,
,,,,,
,,,,,
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.,,,,,
,,,,,
Time Series - Goldman Sachs Group,,,,,
Date,Open,High,Low,Close,Log Return
04/08/09,162.990005,165.470001,162.960007,165.169998,0.0065
05/08/09,165.75,168.960007,164.610001,168.639999,0.0208
06/08/09,169.399994,170.940002,165.809998,166.75,-0.0113
07/08/09,168.300003,168.300003,162.729996,163.649994,-0.0188
10/08/09,163.199997,163.880005,159.399994,160.360001,-0.0203
11/08/09,159.940002,162.220001,159.149994,159.220001,-0.0071
12/08/09,159.869995,164.389999,159.570007,163.759995,0.0281
13/08/09,165.240005,165.490005,162.610001,164.479996,0.0044
14/08/09,163.970001,164.389999,160.789993,162.729996,-0.0107
17/08/09,159.320007,159.610001,157.199997,157.25,-0.0343
18/08/09,159.669998,160.899994,159.490005,160.479996,0.0203
19/08/09,159.110001,160.5,158,159.929993,-0.0034
20/08/09,160.199997,162.839996,160.100006,162.330002,0.0149
21/08/09,163.759995,164.899994,162.020004,163.509995,0.0072
24/08/09,164.360001,166.259995,162.580002,162.580002,-0.0057
25/08/09,163.330002,165.300003,163.039993,164.940002,0.0144
26/08/09,164.289993,166.410004,163.699997,165.949997,0.0061
27/08/09,165.690002,165.899994,163.25,165.020004,-0.0056
28/08/09,165.869995,166.25,163.399994,164.419998,-0.0036
31/08/09,162.949997,165.589996,161.25,165.460007,0.0063
01/09/09,164.800003,166.380005,159.929993,160.169998,-0.0325
02/09/09,160.130005,161.440002,158.139999,158.539993,-0.0102
03/09/09,159.919998,162.25,159.550003,161.660004,0.0195
04/09/09,161.539993,163.850006,161.360001,162.970001,0.0081
08/09/09,165.25,167.25,165.050003,167.220001,0.0257
09/09/09,167.800003,170.559998,167.160004,170.270004,0.0181
10/09/09,171,175.360001,170.130005,174.869995,0.0267
11/09/09,176.800003,177.809998,174.369995,174.699997,-0.001
14/09/09,173.279999,177.899994,173.160004,177.710007,0.0171
15/09/09,178,178,175.460007,176.660004,-0.0059
16/09/09,177.820007,179.869995,176.5,179.869995,0.018
17/09/09,179.880005,183,179.550003,181.460007,0.0088
18/09/09,181.690002,183.949997,180.649994,183.179993,0.0094
21/09/09,181.690002,183.729996,181.410004,182.389999,-0.0043
22/09/09,183.880005,185.800003,182.580002,185.520004,0.017
23/09/09,186.309998,188,183.639999,183.639999,-0.0102
24/09/09,184.919998,185.600006,181.169998,183.059998,-0.0032
25/09/09,182.179993,183.100006,177.699997,179.5,-0.0196
28/09/09,180.139999,182.779999,178.660004,182.5,0.0166
29/09/09,182.990005,184.779999,182.130005,183.580002,0.0059
30/09/09,184.770004,185.479996,181.820007,184.350006,0.0042
01/10/09,184.009995,184.690002,178.600006,178.990005,-0.0295
02/10/09,176.449997,181.059998,175.600006,179.610001,0.0035
05/10/09,180.770004,186.649994,180.550003,186.470001,0.0375
06/10/09,188.460007,189.440002,184.600006,186.979996,0.0027
07/10/09,186.509995,190.580002,186,190.479996,0.0185
08/10/09,191.889999,192.169998,187.610001,188.169998,-0.0122
09/10/09,188.729996,189.75,187.919998,189.300003,0.006
12/10/09,190.860001,190.899994,188.839996,190.149994,0.0045
13/10/09,186.410004,187.800003,185.100006,187.229996,-0.0155
14/10/09,191.580002,193.600006,190.399994,192.279999,0.0266
15/10/09,188.619995,190.860001,187.199997,188.630005,-0.0192
16/10/09,186.669998,187.649994,183.380005,184.369995,-0.0228
19/10/09,184.850006,186.789993,183.009995,185.5,0.0061
20/10/09,185.190002,187.550003,184.070007,184.960007,-0.0029
21/10/09,185.199997,185.5,179.100006,179.259995,-0.0313
22/10/09,180.039993,183.940002,179.559998,183.690002,0.0244
23/10/09,184.029999,184.889999,179.039993,180.360001,-0.0183
26/10/09,180.520004,182.449997,177.820007,179.369995,-0.0055
27/10/09,179.25,180.100006,177.399994,178.610001,-0.0042
28/10/09,177.910004,178.399994,171.669998,172.160004,-0.0368
29/10/09,174.570007,178.580002,173.440002,178.580002,0.0366
30/10/09,177.220001,177.619995,169.679993,170.169998,-0.0482
02/11/09,171.589996,173.360001,165.300003,170.679993,0.003
03/11/09,168.979996,172.160004,168.740005,171.610001,0.0054
04/11/09,173.470001,174.600006,169.020004,169.5,-0.0124
05/11/09,170.979996,173.5,169.210007,173.399994,0.0227
06/11/09,171.960007,173.949997,171,171.779999,-0.0094
09/11/09,173.679993,176.75,173.5,176.570007,0.0275
10/11/09,176.399994,177.740005,175.320007,176.509995,-0.0003
11/11/09,178.029999,180.839996,177.949997,179.850006,0.0187
12/11/09,179.699997,181.429993,177.789993,178.479996,-0.0076
13/11/09,178.889999,178.990005,175.639999,176.759995,-0.0097
16/11/09,177.990005,179.380005,176.429993,177.25,0.0028
17/11/09,177.009995,178.25,175.5,176.600006,-0.0037
18/11/09,176.470001,177.449997,175.009995,176.899994,0.0017
19/11/09,175.529999,176.199997,171.429993,172.830002,-0.0233
20/11/09,171.399994,172.440002,170.009995,170.009995,-0.0165
23/11/09,171.669998,173.630005,171.25,172,0.0116
24/11/09,171.639999,172,170.279999,171.130005,-0.0051
25/11/09,171.970001,172.100006,168.050003,168.919998,-0.013
27/11/09,164.270004,166.300003,163.220001,164.160004,-0.0286
30/11/09,165.470001,169.990005,164.770004,169.660004,0.033
01/12/09,171.25,171.330002,167.070007,167.630005,-0.012
02/12/09,167.649994,167.809998,165.570007,166.660004,-0.0058
03/12/09,167.949997,169.160004,163.940002,164.300003,-0.0143
04/12/09,167.5,167.800003,163.529999,167.240005,0.0177
07/12/09,166.520004,167.360001,163.759995,163.850006,-0.0205
08/12/09,163.119995,164.100006,161.050003,161.839996,-0.0123
09/12/09,162.130005,167.050003,160.720001,166.440002,0.028
10/12/09,166.690002,167.940002,164.160004,166.729996,0.0017
11/12/09,167.539993,167.949997,165.419998,166,-0.0044
14/12/09,166.479996,166.5,163.860001,166.100006,0.0006
15/12/09,164.809998,166,162.110001,162.740005,-0.0204
16/12/09,163.850006,165.889999,163.070007,164.990005,0.0137
17/12/09,162.309998,163.619995,160.830002,160.929993,-0.0249
18/12/09,161.809998,163.380005,160.199997,163.190002,0.0139
21/12/09,163.789993,166.75,163.419998,165.449997,0.0138
22/12/09,165.5,166.300003,164.5,164.600006,-0.0052
23/12/09,165.059998,165.800003,163.389999,163.630005,-0.0059
24/12/09,164,164.899994,163.309998,163.970001,0.0021
28/12/09,164.100006,165.710007,163.460007,163.759995,-0.0013
29/12/09,164.5,165.199997,163.210007,164.119995,0.0022
30/12/09,164.059998,167.279999,163.690002,166.699997,0.0156
31/12/09,167.289993,170.130005,166.929993,168.839996,0.0128
04/01/10,170.050003,174.25,169.509995,173.080002,0.0248
05/01/10,173,176.259995,172.570007,176.139999,0.0175
06/01/10,175.380005,175.380005,173.759995,174.259995,-0.0107
07/01/10,174.320007,178.75,173.949997,177.669998,0.0194
08/01/10,176.330002,177.429993,173.949997,174.309998,-0.0191
11/01/10,175.059998,175.059998,170.520004,171.559998,-0.0159
12/01/10,170.009995,170.479996,167.029999,167.820007,-0.022
13/01/10,168.009995,169.669998,166.119995,169.070007,0.0074
14/01/10,168,170.720001,167.210007,168.529999,-0.0032
15/01/10,167.600006,167.800003,164.580002,165.210007,-0.0199
19/01/10,165.009995,167.399994,163.899994,166.860001,0.0099
20/01/10,165.800003,168.179993,164.320007,167.789993,0.0056
21/01/10,169.289993,171,156.770004,160.869995,-0.0421
22/01/10,158.690002,159.75,152.25,154.119995,-0.0429
25/01/10,156.130005,158.300003,154.5,154.979996,0.0056
26/01/10,154.910004,156.5,150.699997,150.880005,-0.0268
27/01/10,150.75,152.929993,148.270004,151.5,0.0041
28/01/10,154.229996,155.199997,149.949997,153.289993,0.0117
29/01/10,154.440002,154.880005,147.809998,148.720001,-0.0303
01/02/10,149.820007,155.25,149.210007,153.130005,0.0292
02/02/10,153.649994,157.5,153.649994,156.940002,0.0246
03/02/10,157.919998,159.940002,157.110001,157.229996,0.0018
04/02/10,155.270004,156.059998,150.449997,150.679993,-0.0426
05/02/10,150.820007,154.460007,148.869995,154.160004,0.0228
08/02/10,154.270004,154.600006,150.820007,151.100006,-0.02
09/02/10,152.699997,153.529999,149.649994,152.490005,0.0092
10/02/10,152.770004,155.350006,151.759995,153.630005,0.0074
11/02/10,154.399994,155.320007,152.25,154.050003,0.0027
12/02/10,152.369995,154.5,151.139999,153.929993,-0.0008
16/02/10,155.300003,157.740005,154.600006,157.399994,0.0223
17/02/10,158,158.190002,155.809998,157.259995,-0.0009
18/02/10,155.610001,156.589996,154.880005,155.729996,-0.0098
19/02/10,154.509995,157,154.490005,156.179993,0.0029
22/02/10,157.199997,157.970001,156.029999,156.710007,0.0034
23/02/10,156.809998,160.210007,155.910004,156.699997,-0.0001
24/02/10,157.339996,159.25,156.869995,158.330002,0.0103
25/02/10,156.229996,156.440002,154.320007,156.440002,-0.012
26/02/10,156.259995,156.990005,155.259995,156.350006,-0.0006
01/03/10,156.509995,158.289993,156.169998,156.539993,0.0012
02/03/10,157.179993,159.75,156.910004,158.75,0.014
03/03/10,159.039993,159.449997,157.229996,157.720001,-0.0065
04/03/10,158.25,163.850006,158.110001,163.610001,0.0367
05/03/10,165.110001,168.25,165,167.179993,0.0216
08/03/10,167.880005,170.690002,167.460007,169.839996,0.0158
09/03/10,169.220001,172.199997,168,168.850006,-0.0058
10/03/10,170.259995,172.339996,168.869995,171.940002,0.0181
11/03/10,171.399994,173.570007,171.100006,173.509995,0.0091
12/03/10,175.009995,176.339996,174,174.960007,0.0083
15/03/10,173.949997,175.199997,170.380005,173.529999,-0.0082
16/03/10,174.330002,176.419998,173.559998,176.190002,0.0152
17/03/10,176.860001,177.880005,175.570007,176.639999,0.0026
18/03/10,176.199997,177.75,175.660004,177.449997,0.0046
19/03/10,177.899994,178.210007,175.949997,177.899994,0.0025
22/03/10,176.210007,176.949997,175.229996,176.160004,-0.0098
23/03/10,176.25,176.809998,173.289993,174.830002,-0.0076
24/03/10,173.639999,175.960007,173.639999,174.410004,-0.0024
25/03/10,175.240005,178.729996,174.779999,174.899994,0.0028
26/03/10,175.380005,175.479996,171.910004,172.869995,-0.0117
29/03/10,173.869995,174.429993,171.639999,174.050003,0.0068
30/03/10,174.259995,174.779999,170.699997,171.380005,-0.0155
31/03/10,170,171.660004,169.850006,170.630005,-0.0044
01/04/10,171.720001,172,169.5,170.220001,-0.0024
05/04/10,170.679993,173.369995,169.770004,173.160004,0.0171
06/04/10,172.610001,173.889999,172.149994,172.899994,-0.0015
07/04/10,172.889999,177.899994,172.809998,176.360001,0.0198
08/04/10,176.100006,180.800003,175.279999,179.5,0.0176
09/04/10,180.279999,181,177.5,179.119995,-0.0021
12/04/10,179.360001,180.380005,177.839996,177.839996,-0.0072
13/04/10,177.559998,180,177.110001,179.25,0.0079
14/04/10,183.910004,185.940002,183.070007,184.919998,0.0311
15/04/10,185.539993,185.600006,183.660004,184.270004,-0.0035
16/04/10,183.619995,186.410004,155.550003,160.699997,-0.1369
19/04/10,155.600006,163.729996,155,163.320007,0.0162
20/04/10,166.440002,166.710007,158,159.979996,-0.0207
21/04/10,161.669998,163.139999,157,158.929993,-0.0066
22/04/10,157.929993,162,156.289993,159.050003,0.0008
23/04/10,160.190002,160.720001,157,157.399994,-0.0104
26/04/10,156.720001,156.990005,151.520004,152.029999,-0.0347
27/04/10,150.25,156.190002,150.149994,153.039993,0.0066
28/04/10,156.660004,157.649994,154.690002,157.009995,0.0256
29/04/10,159.550003,161.050003,158.339996,160.240005,0.0204
30/04/10,151.899994,152.5,143.300003,145.199997,-0.0986
03/05/10,147.839996,150.649994,146.539993,149.5,0.0292
04/05/10,149.029999,152.350006,147.830002,149.449997,-0.0003
05/05/10,148.100006,151.220001,147.199997,148.190002,-0.0085
06/05/10,147.479996,148.630005,139.059998,142.320007,-0.0404
07/05/10,145.380005,146.550003,141.5,142.990005,0.0047
10/05/10,149.089996,149.899994,141.199997,143.830002,0.0059
11/05/10,142.399994,145.5,141.550003,141.970001,-0.013
12/05/10,144.240005,147.649994,142.279999,147.199997,0.0362
13/05/10,148.360001,148.449997,144.419998,144.649994,-0.0175
14/05/10,143.410004,144.149994,141.899994,143.229996,-0.0099
17/05/10,143.470001,144.300003,138.529999,142.639999,-0.0041
18/05/10,143.690002,143.75,136.600006,137.360001,-0.0377
19/05/10,137.949997,140.130005,136.100006,140.100006,0.0198
20/05/10,138.199997,139.490005,135.75,136.100006,-0.029
21/05/10,137.080002,143.449997,136.25,140.619995,0.0327
24/05/10,142,142.949997,136.509995,136.690002,-0.0283
25/05/10,134.729996,143.190002,134.199997,142.559998,0.042
26/05/10,144.289993,145.800003,139.690002,140.300003,-0.016
27/05/10,142.929993,145.050003,141.039993,144.949997,0.0326
28/05/10,144.419998,145.800003,143.100006,144.259995,-0.0048
01/06/10,144.259995,146.399994,141.699997,141.860001,-0.0168
02/06/10,142,145,141.139999,144.830002,0.0207
03/06/10,144.910004,145.25,142.5,144.039993,-0.0055
04/06/10,142.169998,145.869995,141.710007,142.25,-0.0125
07/06/10,142.279999,143.270004,137.850006,138.679993,-0.0254
08/06/10,139.139999,139.679993,135.050003,137.779999,-0.0065
09/06/10,138.589996,139.419998,136.220001,136.800003,-0.0071
10/06/10,137.600006,137.770004,131.300003,133.770004,-0.0224
11/06/10,133.330002,136.050003,133,135.639999,0.0139
14/06/10,137.110001,137.110001,133.399994,133.440002,-0.0164
15/06/10,134.630005,137.399994,133.300003,136.899994,0.0256
16/06/10,136.059998,138.259995,135.710007,137.059998,0.0012
17/06/10,136.949997,138.380005,135.220001,137.320007,0.0019
18/06/10,137.820007,139.720001,137.520004,138.179993,0.0062
21/06/10,139.649994,140.149994,137.309998,137.740005,-0.0032
22/06/10,137.539993,137.75,134.589996,134.789993,-0.0216
23/06/10,133.899994,136.380005,132.729996,135.070007,0.0021
24/06/10,134.139999,135.979996,133.110001,134.979996,-0.0007
25/06/10,136.990005,140.899994,135.429993,139.660004,0.0341
28/06/10,140.380005,140.380005,136.529999,136.660004,-0.0217
29/06/10,134.979996,135.850006,133.169998,133.759995,-0.0214
30/06/10,133.679993,134.300003,131.020004,131.270004,-0.0188
01/07/10,131.690002,133.75,129.5,131.139999,-0.001
02/07/10,132.110001,132.380005,129.690002,131.080002,-0.0005
06/07/10,133.740005,134.389999,131.070007,132.259995,0.009
07/07/10,132.440002,136.130005,132.070007,135.830002,0.0266
08/07/10,136.919998,137.169998,133.559998,135.460007,-0.0027
09/07/10,135.360001,138.5,134.589996,138.059998,0.019
12/07/10,137.610001,138.309998,136.029999,137.25,-0.0059
13/07/10,138.5,141.199997,138.110001,140.25,0.0216
14/07/10,139.289993,139.589996,137.649994,139.059998,-0.0085
15/07/10,140.020004,146.25,137.820007,145.220001,0.0433
16/07/10,151.470001,152,146.050003,146.169998,0.0065
19/07/10,147.669998,147.699997,144.100006,145.679993,-0.0034
20/07/10,142.179993,149.729996,141.550003,148.910004,0.0219
21/07/10,150.050003,150.970001,146.860001,146.990005,-0.013
22/07/10,148.880005,149.880005,144.160004,146.550003,-0.003
23/07/10,146.649994,148.410004,144.570007,147.380005,0.0056
26/07/10,147.389999,149,145.210007,148.199997,0.0055
27/07/10,149.089996,149.660004,147,147.229996,-0.0066
28/07/10,147,148.649994,146.779999,147.199997,-0.0002
29/07/10,148.270004,153.149994,147.630005,152.580002,0.0359
30/07/10,151.350006,153.410004,150.800003,150.820007,-0.0116
02/08/10,152.820007,153.639999,151.610001,152.740005,0.0127
03/08/10,152.119995,153.960007,151.410004,153.190002,0.0029
04/08/10,153.619995,157.25,153,156.410004,0.0208
05/08/10,155.630005,156.220001,154.399994,155.919998,-0.0031
06/08/10,154.539993,156.059998,153.770004,155.179993,-0.0048
09/08/10,155.929993,156.199997,154.589996,155.399994,0.0014
10/08/10,154.020004,154.770004,153.179993,153.899994,-0.0097
11/08/10,151.720001,152,148.910004,149.25,-0.0307
12/08/10,147.809998,150.589996,147.809998,149.419998,0.0011
13/08/10,149.380005,150.449997,148.080002,148.080002,-0.009
16/08/10,147.580002,149.179993,147,147.759995,-0.0022
17/08/10,148.679993,149.789993,148.139999,148.589996,0.0056
18/08/10,148.539993,149.940002,147.729996,149.199997,0.0041
19/08/10,148.669998,149.660004,146.279999,147.050003,-0.0145
20/08/10,147.440002,148.970001,147.25,148.240005,0.0081
23/08/10,148.119995,148.5,146.600006,146.740005,-0.0102
24/08/10,144.800003,145.490005,143.820007,143.949997,-0.0192
25/08/10,142.809998,145.330002,142.75,144.679993,0.0051
26/08/10,144.940002,145.160004,141.660004,141.809998,-0.02
27/08/10,141.130005,141.740005,138.25,139.75,-0.0146
30/08/10,138.830002,140.110001,136.649994,136.660004,-0.0224
31/08/10,136.25,138.009995,135.789993,136.929993,0.002
01/09/10,139.009995,140.339996,137.800003,139.740005,0.0203
02/09/10,139.929993,140.149994,138.449997,139.779999,0.0003
03/09/10,141.619995,147.990005,141.330002,147.289993,0.0523
07/09/10,146.149994,146.240005,144.149994,145.210007,-0.0142
08/09/10,145.380005,149.660004,145.360001,147.539993,0.0159
09/09/10,149.789993,150.679993,148.5,149.139999,0.0108
10/09/10,149.460007,150.75,148.809998,150.389999,0.0083
13/09/10,152.320007,154.699997,152.300003,154.369995,0.0261
14/09/10,153.539993,153.75,152.229996,152.529999,-0.012
15/09/10,151.669998,152.800003,150.669998,152.559998,0.0002
16/09/10,152.279999,152.479996,151.160004,152.229996,-0.0022
