19,FEB,95,05:26.2,40.18,23.93,0,2.2
20,FEB,95,46:31.5,38.75,21.7,11,2.9
20,FEB,95,57:07.1,39.83,24.17,14,2.6
21,FEB,95,52:12.2,38.45,21.62,20,3.1
23,FEB,95,38:19.7,40.71,22.74,2,2.9
24,FEB,95,58:53.7,40.7,22.76,0,2
24,FEB,95,00:06.4,40.69,20.46,0,3.4
24,FEB,95,17:56.1,38.14,22.1,0,3.1
25,FEB,95,33:56.3,39.48,24.22,2,3.1
26,FEB,95,10:58.0,37.75,21.08,0,3.2
26,FEB,95,15:52.8,38.59,20.55,50,3.7
26,FEB,95,41:05.9,38.37,22.1,16,2.7
27,FEB,95,18:28.3,36.01,21.59,159,4.2
27,FEB,95,28:29.2,41.84,22.97,0,2.9
27,FEB,95,46:37.4,40.96,23.81,0,2
1,MAR,95,16:29.2,39.16,22.35,11,2.7
1,MAR,95,10:00.4,40.7,22.75,0,2.5
2,MAR,95,07:39.3,39.53,19.96,1,3.4
2,MAR,95,49:53.5,38.56,20.52,0,3.1
2,MAR,95,05:03.4,39.26,20.24,77,2.9
2,MAR,95,15:49.6,40.72,22.75,0,2.5
2,MAR,95,17:34.7,40.71,22.74,0,2
2,MAR,95,38:53.3,39.54,23.83,26,2.6
3,MAR,95,25:02.2,40.43,20.39,0,2.5
4,MAR,95,11:39.4,41.49,24.11,0,2.7
4,MAR,95,29:01.1,41.93,23.16,6,3
4,MAR,95,53:23.8,39.06,21.26,61,2.7
4,MAR,95,52:58.3,38.64,20.55,3,3.5
4,MAR,95,11:37.4,40.59,20.37,0,3.1
4,MAR,95,28:45.0,41.85,19.64,0,3.4
5,MAR,95,05:04.7,39.37,20.39,1,3.1
5,MAR,95,59:10.3,38.45,22.29,0,3.5
5,MAR,95,14:43.1,41.19,23.23,0,2.2
5,MAR,95,38:40.0,41.81,23.19,0,2.8
6,MAR,95,56:41.4,40.7,22.79,0,2.2
6,MAR,95,04:56.0,39.89,24.37,0,2.8
6,MAR,95,08:17.8,41.22,23.26,0,2.1
7,MAR,95,58:14.8,36.73,27.66,33,4.5
8,MAR,95,15:45.9,40.49,25.28,0,2.7
8,MAR,95,38:35.1,40.44,23.67,0,2.2
9,MAR,95,17:36.8,40.71,22.72,0,2.5
9,MAR,95,53:48.9,40.7,22.71,0,2
9,MAR,95,55:25.3,39.92,24.04,3,2.6
10,MAR,95,50:56.7,40.17,23.47,0,2.1
10,MAR,95,48:58.4,38.51,19.97,38,3.4
10,MAR,95,06:44.4,39.7,20.36,8,3.1
10,MAR,95,28:52.2,38.25,22.09,0,3.3
10,MAR,95,11:16.5,41.69,23.79,6,2.9
10,MAR,95,56:24.8,40.45,23.67,0,2.1
11,MAR,95,25:38.5,39.14,20.04,7,3.2
